indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
aROI,0.4575497978621458,0.39,0.52,0.0,0.0,Arable land,0.15828210071471288
ZCR,-0.07936934947571143,-0.18,0.03,0.1459999999999999,0.175,Forest - Subtropical-tropical moist lowland,0.23665205175807277
MEANt,-0.07508993721265225,-0.19,0.05,0.22399999999999998,0.149,Forest - Subtropical-tropical moist lowland,0.23665205175807277
VARt,0.37738035281947635,0.27,0.47,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
SKEWt,0.021604357841478232,-0.09,0.14,0.712,0.74,Forest - Subtropical-tropical moist lowland,0.23665205175807277
KURTt,0.04187451341206739,-0.06,0.16,0.442,0.472,Forest - Subtropical-tropical moist lowland,0.23665205175807277
LEQt,0.37738035281947635,0.27,0.47,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
BGNt,0.39242442148666595,0.29,0.49,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
SNRt,0.04948727842106843,-0.05,0.16,0.36,0.38,Forest - Subtropical-tropical moist lowland,0.23665205175807277
M,0.39242442148666595,0.29,0.49,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
Ht,-0.063800375658149,-0.18,0.04,0.22999999999999998,0.279,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ACTtFraction,0.06521497445319428,-0.04,0.17,0.234,0.256,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ACTtCount,0.06521497445319428,-0.04,0.17,0.234,0.256,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ACTtMean,0.040475518161679165,-0.06,0.16,0.45,0.498,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EVNtFraction,0.07533231464449487,-0.03,0.18,0.174,0.187,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EVNtMean,0.027164738083670828,-0.09,0.15,0.656,0.639,Forest - Subtropical-tropical moist lowland,0.23665205175807277
