indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
AGI,0.4956573598885169,0.47,0.52,0.0,0.0,all_unbalanced,0.059834042277819084
nROI,0.7118217961331021,0.7,0.73,0.0,0.0,all_unbalanced,0.059834042277819084
aROI,0.6589765519517121,0.64,0.67,0.0,0.0,all_unbalanced,0.059834042277819084
ZCR,-0.07095872156136791,-0.15,0.01,0.07200000000000006,0.08,Arable land,0.15523043062430422
MEANt,-0.02122685323559805,-0.1,0.06,0.542,0.598,Arable land,0.15523043062430422
VARt,-0.1407350591596867,-0.22,-0.06,0.0,0.0,Arable land,0.15523043062430422
SKEWt,0.06650856352018095,-0.01,0.15,0.102,0.102,Arable land,0.15523043062430422
KURTt,-0.2833231819587146,-0.35,-0.21,0.0,0.0,Arable land,0.15523043062430422
LEQt,-0.14062539280092903,-0.22,-0.06,0.0,0.0,Arable land,0.15523043062430422
BGNt,0.07510389856367947,-0.01,0.14,0.064,0.062,Arable land,0.15523043062430422
SNRt,-0.2614628289687161,-0.33,-0.19,0.0,0.0,Arable land,0.15523043062430422
M,0.07510389856367947,-0.01,0.14,0.064,0.062,Arable land,0.15523043062430422
Ht,0.26683890636962,0.19,0.34,0.0,0.0,Arable land,0.15523043062430422
ACTtFraction,-0.1562407804368995,-0.24,-0.08,0.0,0.0,Arable land,0.15523043062430422
ACTtCount,-0.156417260625043,-0.24,-0.08,0.0,0.0,Arable land,0.15523043062430422
ACTtMean,-0.27836216026207955,-0.35,-0.2,0.0,0.0,Arable land,0.15523043062430422
EVNtFraction,-0.18371605214045442,-0.27,-0.11,0.0,0.0,Arable land,0.15523043062430422
EVNtMean,-0.2495122007881232,-0.32,-0.17,0.0,0.0,Arable land,0.15523043062430422
EVNtCount,-0.05597016644391755,-0.14,0.02,0.17599999999999993,0.163,Arable land,0.15523043062430422
MEANf,0.0004552859169099338,-0.07,0.08,1.0,0.989,Arable land,0.15523043062430422
VARf,-0.06595682116508203,-0.15,0.01,0.08600000000000008,0.083,Arable land,0.15523043062430422
SKEWf,-0.2648274677916786,-0.33,-0.19,0.0,0.0,Arable land,0.15523043062430422
KURTf,-0.2745434364240769,-0.34,-0.2,0.0,0.0,Arable land,0.15523043062430422
NP,0.6128194727864816,0.56,0.66,0.0,0.0,Arable land,0.15523043062430422
LEQf,-0.05817053371132349,-0.14,0.02,0.1499999999999999,0.14,Arable land,0.15523043062430422
BGNf,0.10330138670301171,0.02,0.18,0.012,0.007,Arable land,0.15523043062430422
SNRf,-0.19811885803801263,-0.27,-0.12,0.0,0.0,Arable land,0.15523043062430422
Hf,0.17049364767575428,0.09,0.24,0.0,0.0,Arable land,0.15523043062430422
H,0.2000737581559199,0.12,0.27,0.0,0.0,Arable land,0.15523043062430422
EAS,0.4641848879822135,0.4,0.53,0.0,0.0,Arable land,0.15523043062430422
ECU,0.557796821966114,0.49,0.62,0.0,0.0,Arable land,0.15523043062430422
ECV,0.5449784194250232,0.48,0.6,0.0,0.0,Arable land,0.15523043062430422
EPS,0.5245672907935618,0.46,0.59,0.0,0.0,Arable land,0.15523043062430422
EPS_KURT,0.5301206213104603,0.46,0.59,0.0,0.0,Arable land,0.15523043062430422
EPS_SKEW,0.5338267966252177,0.47,0.59,0.0,0.0,Arable land,0.15523043062430422
ACI,0.3158157436717572,0.24,0.39,0.0,0.0,Arable land,0.15523043062430422
NDSI,0.16917707493776446,0.09,0.24,0.0,0.0,Arable land,0.15523043062430422
rBA,0.16917707493776446,0.09,0.24,0.0,0.0,Arable land,0.15523043062430422
AnthroEnergy,-0.06241994899594086,-0.14,0.01,0.1120000000000001,0.107,Arable land,0.15523043062430422
BioEnergy,0.10334836598416153,0.03,0.19,0.006,0.012,Arable land,0.15523043062430422
BIO,0.2939876228879463,0.22,0.37,0.0,0.0,Arable land,0.15523043062430422
ROU,-0.057672639796070124,-0.13,0.02,0.15599999999999992,0.146,Arable land,0.15523043062430422
ADI,0.24549442153938922,0.17,0.32,0.0,0.0,Arable land,0.15523043062430422
AEI,-0.23793791438000408,-0.31,-0.17,0.0,0.0,Arable land,0.15523043062430422
LFC,0.08551281279532744,0.02,0.17,0.028,0.026,Arable land,0.15523043062430422
MFC,0.1196367024241661,0.04,0.2,0.002,0.005,Arable land,0.15523043062430422
HFC,-0.33953784753174987,-0.4,-0.27,0.0,0.0,Arable land,0.15523043062430422
ACTspFract,0.07225540736439247,-0.01,0.15,0.094,0.088,Arable land,0.15523043062430422
ACTspCount,0.07179461016112386,-0.01,0.15,0.094,0.09,Arable land,0.15523043062430422
ACTspMean,0.35700833505331464,0.28,0.42,0.0,0.0,Arable land,0.15523043062430422
EVNspFract,0.15521180648021218,0.08,0.24,0.0,0.0,Arable land,0.15523043062430422
EVNspMean,0.03282782949707642,-0.05,0.12,0.462,0.419,Arable land,0.15523043062430422
EVNspCount,0.1333860542784516,0.05,0.21,0.0,0.003,Arable land,0.15523043062430422
TFSD,0.4075839810509015,0.34,0.47,0.0,0.0,Arable land,0.15523043062430422
H_Havrda,0.23367383960944307,0.15,0.3,0.0,0.0,Arable land,0.15523043062430422
H_Renyi,0.23367383960944307,0.15,0.3,0.0,0.0,Arable land,0.15523043062430422
