indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
H_gamma,0.09172120969407656,0.06,0.12,0.0,0.0,all_unbalanced,0.05578967990756505
H_GiniSimpson,0.28270242056686046,0.26,0.31,0.0,0.0,all_unbalanced,0.05578967990756505
RAOQ,0.08046045363319337,0.05,0.11,0.0,0.0,all_unbalanced,0.05578967990756505
AGI,0.5341215029687773,0.51,0.55,0.0,0.0,all_unbalanced,0.05578967990756505
nROI,0.7297863438197576,0.72,0.74,0.0,0.0,all_unbalanced,0.05578967990756505
aROI,0.6539220020301273,0.63,0.67,0.0,0.0,all_unbalanced,0.05578967990756505
ZCR,-0.0720337770709607,-0.15,0.01,0.07000000000000006,0.066,Arable land,0.15239323911050076
MEANt,-0.025355924568389004,-0.1,0.05,0.524,0.518,Arable land,0.15239323911050076
VARt,-0.14020526751310314,-0.21,-0.06,0.0,0.001,Arable land,0.15239323911050076
SKEWt,0.06575585849718385,-0.02,0.13,0.108,0.1,Arable land,0.15239323911050076
KURTt,-0.28304846934902095,-0.35,-0.21,0.0,0.0,Arable land,0.15239323911050076
LEQt,-0.1400801681289514,-0.21,-0.06,0.0,0.001,Arable land,0.15239323911050076
BGNt,0.07643238145886082,0.0,0.16,0.036,0.06,Arable land,0.15239323911050076
SNRt,-0.2612649840516095,-0.34,-0.19,0.0,0.0,Arable land,0.15239323911050076
M,0.07643238145886082,0.0,0.16,0.036,0.06,Arable land,0.15239323911050076
Ht,0.2665038586085226,0.2,0.34,0.0,0.0,Arable land,0.15239323911050076
ACTtFraction,-0.15397401181025405,-0.23,-0.08,0.0,0.0,Arable land,0.15239323911050076
ACTtCount,-0.15418444095910105,-0.23,-0.08,0.0,0.0,Arable land,0.15239323911050076
ACTtMean,-0.2788154575487075,-0.35,-0.21,0.0,0.0,Arable land,0.15239323911050076
EVNtFraction,-0.1827185702764518,-0.26,-0.11,0.0,0.0,Arable land,0.15239323911050076
EVNtMean,-0.2502707792017222,-0.33,-0.18,0.0,0.0,Arable land,0.15239323911050076
EVNtCount,-0.055446742639288074,-0.14,0.02,0.1459999999999999,0.155,Arable land,0.15239323911050076
MEANf,0.0018435628861813692,-0.07,0.09,0.942,0.961,Arable land,0.15239323911050076
VARf,-0.0655222141612739,-0.14,0.02,0.12200000000000011,0.094,Arable land,0.15239323911050076
SKEWf,-0.2701376289143808,-0.34,-0.2,0.0,0.0,Arable land,0.15239323911050076
KURTf,-0.2785738014466829,-0.35,-0.21,0.0,0.0,Arable land,0.15239323911050076
NP,0.6007278075733338,0.54,0.65,0.0,0.0,Arable land,0.15239323911050076
LEQf,-0.05742306670595157,-0.13,0.02,0.17399999999999993,0.147,Arable land,0.15239323911050076
BGNf,0.10431011800505326,0.03,0.18,0.008,0.006,Arable land,0.15239323911050076
SNRf,-0.19754702203253866,-0.27,-0.13,0.0,0.0,Arable land,0.15239323911050076
Hf,0.16892325009648299,0.1,0.24,0.0,0.0,Arable land,0.15239323911050076
H,0.19882861502897592,0.13,0.27,0.0,0.0,Arable land,0.15239323911050076
EAS,0.4639281099780844,0.4,0.53,0.0,0.0,Arable land,0.15239323911050076
ECU,0.5572457590941832,0.49,0.62,0.0,0.0,Arable land,0.15239323911050076
ECV,0.5443792005596044,0.47,0.6,0.0,0.0,Arable land,0.15239323911050076
EPS,0.5247791869785189,0.46,0.59,0.0,0.0,Arable land,0.15239323911050076
EPS_KURT,0.5304262754980691,0.47,0.6,0.0,0.0,Arable land,0.15239323911050076
EPS_SKEW,0.5340504654691456,0.47,0.6,0.0,0.0,Arable land,0.15239323911050076
ACI,0.3163172316128281,0.25,0.4,0.0,0.0,Arable land,0.15239323911050076
NDSI,0.1687891978050164,0.1,0.24,0.0,0.0,Arable land,0.15239323911050076
rBA,0.1687891978050164,0.1,0.24,0.0,0.0,Arable land,0.15239323911050076
AnthroEnergy,-0.06169070767606784,-0.13,0.02,0.1319999999999999,0.115,Arable land,0.15239323911050076
BioEnergy,0.10437503261604249,0.03,0.18,0.004,0.005,Arable land,0.15239323911050076
BIO,0.29326265066313556,0.21,0.37,0.0,0.0,Arable land,0.15239323911050076
ROU,-0.05696304171365131,-0.13,0.03,0.17399999999999993,0.144,Arable land,0.15239323911050076
